id,total_recent,positive_recent,mood_recent,total_all,positive_all,mood_all
1000010,25,22,Very Positive,3641,3131,Very Positive
1000030,0,0,Very Positive,1160,1113,Overwhelmingly Positive
1000080,0,0,,1153,818,Mostly Positive
1000280,0,0,,18,14,Positive
1000360,99,92,Very Positive,2589,2433,Very Positive
1000410,11,8,Very Positive,1044,897,Very Positive
1000717,0,0,,20,18,Positive
1000718,0,0,,17,12,Mostly Positive
1000760,12,10,Very Positive,349,282,Very Positive
1001140,0,0,,226,203,Very Positive
1001370,0,0,,0,0,8 user reviews
1001371,0,0,,22,20,Positive
1002020,0,0,,26,18,Mostly Positive
1002430,0,0,,155,145,Very Positive
1002560,0,0,Very Positive,2467,2368,Overwhelmingly Positive
1003090,0,0,,460,400,Very Positive
1003120,0,0,,63,45,Mostly Positive
1003310,0,0,,71,48,Mixed
1003560,0,0,,13,10,Positive
1003780,0,0,,18,15,Positive
1003890,96,78,Very Positive,2173,1825,Very Positive
1004270,0,0,,1228,847,Mixed
1004340,0,0,,0,0,2 user reviews
1004490,0,0,,499,384,Mostly Positive
1004750,28,16,Mixed,578,421,Mostly Positive
1004770,0,0,,407,398,Very Positive
1004891,0,0,,36,29,Positive
1004892,0,0,,23,17,Mostly Positive
1004919,0,0,,25,16,Mixed
1005120,0,0,,215,172,Very Positive
1005130,0,0,,71,56,Very Positive
1005300,32,27,Very Positive,1573,1494,Overwhelmingly Positive
1005400,0,0,,123,116,Very Positive
1005460,0,0,,180,147,Very Positive
1005930,23,20,Very Positive,943,876,Very Positive
1005971,0,0,,39,27,Mostly Positive
1005972,0,0,,15,12,Positive
1007040,107,102,Overwhelmingly Positive,4779,4492,Very Positive
1007070,0,0,,0,0,6 user reviews
1007400,16,8,Mixed,718,351,Mixed
1008710,91,67,Mostly Positive,2163,1730,Very Positive
1008800,0,0,,100,92,Very Positive
10090,372,312,Very Positive,32117,29547,Very Positive
1009290,46,31,Mixed,3911,2424,Mixed
1009450,0,0,,169,160,Very Positive
1009460,0,0,,34,30,Positive
1009560,81,65,Very Positive,3294,2701,Very Positive
1009820,15,12,Very Positive,582,459,Mostly Positive
1009821,20,13,Mixed,760,592,Mostly Positive
1010139,0,0,,79,70,Very Positive
1010220,0,0,,121,102,Very Positive
1010240,0,0,,96,90,Very Positive
1010600,0,0,,169,148,Very Positive
1010750,71,68,Very Positive,3616,3435,Overwhelmingly Positive
1010820,0,0,,0,0,Very Positive
1010821,0,0,,0,0,Positive
1011190,17,12,Mostly Positive,804,707,Very Positive
1011610,0,0,,325,276,Very Positive
1011670,0,0,Very Positive,189,137,Mostly Positive
1011890,0,0,,144,139,Very Positive
1011900,0,0,,147,122,Very Positive
1011940,20,16,Very Positive,1160,1032,Very Positive
1011990,0,0,,0,0,Positive
1012030,20,19,Very Positive,1128,1037,Very Positive
1012102,0,0,,78,67,Very Positive
1012560,20,19,Very Positive,1514,1392,Very Positive
1012610,0,0,,529,412,Mostly Positive
1012790,156,145,Very Positive,1909,1699,Very Positive
1012840,0,0,Very Positive,1429,1100,Mostly Positive
1012880,136,116,Very Positive,5526,5194,Very Positive
10130,0,0,,825,651,Mostly Positive
1013300,0,0,,141,88,Mixed
1013750,0,0,,333,256,Mostly Positive
1013870,0,0,,540,442,Very Positive
1013910,0,0,,120,91,Mostly Positive
1014810,0,0,,85,37,Mixed
10150,109,86,Mostly Positive,6613,5224,Mostly Positive
1015030,0,0,,80,70,Very Positive
1015050,0,0,,101,96,Very Positive
1015160,0,0,,580,551,Overwhelmingly Positive
1015480,0,0,,95,65,Mixed
1015500,78,34,Mixed,3326,1430,Mixed
1015610,0,0,,226,167,Mostly Positive
1015770,0,0,,304,255,Very Positive
1015790,0,0,,188,125,Mixed
1015800,0,0,,120,79,Mixed
1015880,0,0,,73,53,Mostly Positive
1015890,10,9,Very Positive,267,200,Mostly Positive
1015940,0,0,,106,101,Very Positive
1016080,0,0,,63,31,Mixed
1016120,103,81,Mostly Positive,3621,3005,Very Positive
1016600,31,25,Very Positive,2153,1808,Very Positive
1016770,0,0,,173,150,Very Positive
1016790,0,0,,407,313,Mostly Positive
1016800,233,198,Very Positive,5638,4623,Very Positive
1016870,14,9,Mostly Positive,871,749,Very Positive
1016920,122,118,Overwhelmingly Positive,7039,6546,Very Positive
1016960,0,0,,737,589,Very Positive
1017030,32,25,Very Positive,262,227,Very Positive
1017180,507,481,Overwhelmingly Positive,5812,5288,Very Positive
1017220,0,0,,0,0,1 user reviews
1017510,0,0,,58,51,Very Positive
1017900,212,178,Very Positive,7688,6304,Very Positive
10180,209,196,Very Positive,21627,19896,Very Positive
1018010,41,33,Very Positive,610,494,Very Positive
1018020,20,18,Very Positive,384,303,Mostly Positive
1018800,55,51,Very Positive,1589,1430,Very Positive
1018830,31,25,Very Positive,1401,1260,Very Positive
1018850,0,0,Very Positive,1148,1125,Overwhelmingly Positive
1019310,10,6,Mixed,655,543,Very Positive
1019450,0,0,,268,152,Mixed
1019550,15,9,Mixed,684,465,Mixed
1019920,0,0,,69,66,Very Positive
1019930,0,0,,149,132,Very Positive
1019931,0,0,,167,116,Mostly Positive
1020030,0,0,,75,57,Mostly Positive
1020100,0,0,,19,16,Positive
1020270,0,0,,90,77,Very Positive
1020470,13,7,Mixed,727,610,Very Positive
1020730,0,0,,403,366,Very Positive
1021110,0,0,,251,203,Very Positive
1021770,17,13,Very Positive,1635,1504,Very Positive
1021790,0,0,,1376,935,Mixed
10220,20,7,Mostly Negative,1807,650,Mostly Negative
1022310,0,0,,936,683,Mostly Positive
1022830,0,0,,45,28,Mixed
1022850,92,69,Mostly Positive,630,548,Very Positive
1023550,0,0,,91,86,Very Positive
1023690,0,0,,114,110,Very Positive
1024010,10,7,Mostly Positive,365,306,Very Positive
1024380,121,91,Mostly Positive,3645,2697,Mostly Positive
1024460,0,0,,72,62,Very Positive
1024480,0,0,,322,196,Mixed
1024650,14,3,Mostly Negative,783,454,Mixed
1024701,0,0,,23,15,Mixed
1024702,0,0,,28,23,Positive
1024703,0,0,,18,12,Mostly Positive
1024704,0,0,,19,6,Mostly Negative
1024770,0,0,,64,56,Very Positive
1025140,0,0,,458,430,Very Positive
1025250,14,12,Very Positive,1049,954,Very Positive
1025410,0,0,,302,250,Very Positive
1025600,0,0,Very Positive,1699,1495,Very Positive
102600,0,0,Very Positive,5102,4897,Overwhelmingly Positive
1026400,0,0,Very Positive,177,171,Very Positive
1026420,0,0,,393,294,Mostly Positive
1026680,56,42,Mostly Positive,2152,1398,Mixed
1026740,0,0,,19,16,Positive
1026750,0,0,,0,0,7 user reviews
1026970,0,0,,38,29,Mostly Positive
10270,17,12,Mostly Positive,949,645,Mixed
1027820,0,0,,362,271,Mostly Positive
1027880,0,0,,89,83,Very Positive
1028270,0,0,,284,232,Very Positive
102840,15,7,Mixed,1852,1500,Very Positive
1028430,0,0,,333,169,Mixed
1028630,106,93,Very Positive,1926,1733,Very Positive
1028840,0,0,,11,4,Mixed
1028890,0,0,,12,9,Mostly Positive
1028892,0,0,,0,0,9 user reviews
1028894,0,0,,10,6,Mixed
1029210,0,0,Very Positive,685,637,Very Positive
1029630,10,8,Very Positive,1067,650,Mixed
1029780,503,432,Very Positive,6807,5990,Very Positive
1029870,0,0,,47,36,Mostly Positive
1029890,25,17,Mixed,1614,1162,Mostly Positive
1030060,0,0,,15,10,Mostly Positive
1030210,398,191,Mixed,8635,4144,Mixed
1030310,10,7,Mostly Positive,37,32,Positive
1030830,185,136,Mostly Positive,7591,5161,Mixed
1030840,518,440,Very Positive,24767,21299,Very Positive
1031440,0,0,,212,184,Very Positive
1031480,0,0,Very Positive,1586,1538,Overwhelmingly Positive
1032370,0,0,,108,73,Mixed
1032430,58,45,Mostly Positive,1222,892,Mostly Positive
1032590,0,0,,291,267,Very Positive
1032670,0,0,,372,334,Very Positive
1033000,0,0,,0,0,7 user reviews
1033060,12,3,Mostly Negative,1742,540,Mostly Negative
1033420,0,0,Very Positive,625,612,Overwhelmingly Positive
1033450,0,0,,153,102,Mixed
1033530,0,0,,46,39,Positive
1033890,25,9,Mostly Negative,1034,548,Mixed
1033950,21,17,Very Positive,183,155,Very Positive
1034540,0,0,,34,23,Mostly Positive
1034720,0,0,,61,50,Very Positive
1034750,0,0,,86,68,Very Positive
1034850,0,0,,106,79,Mostly Positive
1034860,16,10,Mixed,718,660,Very Positive
1034900,0,0,Very Positive,538,505,Very Positive
1034910,0,0,,287,255,Very Positive
1035020,0,0,,18,15,Positive
1035510,13,10,Very Positive,890,783,Very Positive
1035560,0,0,,251,230,Very Positive
1036116,0,0,,0,0,
1036117,0,0,,0,0,
1036740,17,8,Mixed,488,414,Very Positive
1036760,0,0,,103,89,Very Positive
1037020,10,9,Very Positive,1687,1535,Very Positive
1037590,0,0,,520,473,Very Positive
1037910,0,0,,79,62,Mostly Positive
1038250,59,35,Mixed,1935,1141,Mixed
1038280,0,0,,164,149,Very Positive
1038370,107,100,Very Positive,2100,1848,Very Positive
1038400,0,0,,0,0,8 user reviews
1038450,0,0,,775,434,Mixed
1038500,0,0,,27,23,Positive
1038710,0,0,,35,33,Positive
1038740,37,33,Very Positive,2159,2094,Overwhelmingly Positive
1038810,0,0,,119,85,Mostly Positive
1039880,59,49,Very Positive,1664,1414,Very Positive
1039890,15,6,Mixed,763,434,Mixed
1040070,11,9,Very Positive,1083,953,Very Positive
1040230,62,59,Very Positive,1747,1519,Very Positive
1040420,56,44,Very Positive,1591,1447,Very Positive
1040630,0,0,,116,97,Very Positive
1040930,0,0,,72,60,Very Positive
1040940,0,0,,39,18,Mixed
1041460,0,0,,140,123,Very Positive
1041720,53,43,Very Positive,3329,2430,Mostly Positive
1041840,29,15,Mixed,853,665,Mostly Positive
1041920,22,18,Very Positive,696,640,Very Positive
1042220,0,0,Very Positive,1451,812,Mixed
1042360,0,0,,62,34,Mixed
1042380,13,9,Mostly Positive,383,283,Mostly Positive
1042390,0,0,,0,0,Positive
1042490,36,31,Very Positive,1429,1271,Very Positive
1042550,145,127,Very Positive,4446,4045,Very Positive
1042670,0,0,,264,192,Mostly Positive
1042780,0,0,,1245,921,Mostly Positive
1042800,63,42,Mixed,1603,1250,Mostly Positive
1042851,0,0,,13,8,Mixed
1043230,0,0,,187,179,Very Positive
1043260,0,0,,556,472,Very Positive
1043340,0,0,Very Positive,815,782,Overwhelmingly Positive
1043390,10,9,Very Positive,984,856,Very Positive
1044340,0,0,,113,87,Mostly Positive
1044440,0,0,,50,39,Mostly Positive
1044620,0,0,Very Positive,2131,2088,Overwhelmingly Positive
1045120,0,0,,21,16,Positive
1045170,0,0,,72,41,Mixed
1045180,0,0,,367,264,Mostly Positive
1045190,0,0,,27,15,Mixed
1045720,27,24,Very Positive,1352,1297,Overwhelmingly Positive
1045980,0,0,,394,299,Mostly Positive
104600,0,0,,523,418,Very Positive
1046030,131,121,Very Positive,12720,12084,Overwhelmingly Positive
1046300,0,0,,373,313,Very Positive
1046400,12,10,Very Positive,226,214,Very Positive
1046660,0,0,,197,143,Mostly Positive
1046820,25,24,Very Positive,404,379,Very Positive
1047010,0,0,,335,298,Very Positive
1047180,0,0,,126,66,Mixed
1047440,0,0,Very Positive,1790,1664,Very Positive
1047870,0,0,,36,32,Positive
1048100,28,24,Very Positive,2489,1991,Very Positive
1048350,10,6,Mixed,364,258,Mostly Positive
1048530,0,0,,14,11,Positive
1048540,23,21,Very Positive,1648,1565,Overwhelmingly Positive
1048600,12,9,Mostly Positive,513,400,Mostly Positive
1048660,0,0,,104,97,Very Positive
1049100,0,0,,3694,3509,Overwhelmingly Positive
1049240,13,5,Mixed,406,235,Mixed
1049280,89,85,Very Positive,1600,1520,Overwhelmingly Positive
1049290,0,0,,113,77,Mixed
1049320,31,29,Very Positive,1779,1494,Very Positive
1049410,325,295,Very Positive,10966,10308,Very Positive
1049440,0,0,,46,33,Mostly Positive
1049710,0,0,,179,152,Very Positive
1049790,0,0,,431,366,Very Positive
1049890,108,69,Mixed,5899,5545,Very Positive
1050440,0,0,,26,21,Positive
1051200,13,9,Mostly Positive,2295,2111,Very Positive
1051310,63,54,Very Positive,2653,2281,Very Positive
1051620,0,0,,143,110,Mostly Positive
1051621,0,0,,41,7,Negative
1051690,20,19,Very Positive,900,864,Overwhelmingly Positive
1051700,0,0,,67,61,Very Positive
1051960,0,0,,74,69,Very Positive
1052530,0,0,,0,0,Positive
1052690,0,0,,249,179,Mostly Positive
1052990,0,0,,662,635,Overwhelmingly Positive
1053680,62,58,Very Positive,2139,1967,Very Positive
1054071,0,0,,34,24,Mostly Positive
1054340,0,0,,92,86,Very Positive
1054430,34,29,Very Positive,172,139,Very Positive
1054480,0,0,,388,275,Mostly Positive
1054490,112,107,Overwhelmingly Positive,3069,2884,Very Positive
105450,141,129,Very Positive,25302,22771,Very Positive
1054510,43,37,Very Positive,1797,1581,Very Positive
1054550,0,0,Very Positive,610,445,Mostly Positive
1054690,0,0,,104,70,Mixed
1054710,0,0,,149,122,Very Positive
1055331,0,0,,32,22,Mostly Positive
1055430,33,31,Very Positive,1036,963,Very Positive
1055540,201,196,Overwhelmingly Positive,7170,7098,Overwhelmingly Positive
1055610,0,0,,185,168,Very Positive
1055810,156,152,Overwhelmingly Positive,1456,1339,Very Positive
1055850,0,0,,84,80,Very Positive
105600,13294,12895,Overwhelmingly Positive,653851,640773,Overwhelmingly Positive
1056180,0,0,,135,110,Very Positive
1056490,0,0,,422,409,Very Positive
1056570,0,0,,463,425,Very Positive
1056600,219,98,Mixed,5449,3160,Mixed
1056750,0,0,,197,159,Very Positive
1056760,26,22,Very Positive,2137,1880,Very Positive
1056761,0,0,,423,346,Very Positive
1056960,104,53,Mixed,7687,3612,Mixed
1057090,1961,1862,Overwhelmingly Positive,68613,65868,Overwhelmingly Positive
1057270,0,0,,33,24,Mostly Positive
1057271,0,0,,36,23,Mixed
1057540,0,0,,135,118,Very Positive
1057640,0,0,,179,162,Very Positive
1057680,14,12,Very Positive,1717,1631,Overwhelmingly Positive
1057750,242,171,Mostly Positive,2547,1859,Mostly Positive
1057780,0,0,,156,138,Very Positive
1058020,31,27,Very Positive,2620,2515,Overwhelmingly Positive
1058060,0,0,,297,246,Very Positive
1058130,0,0,,208,166,Very Positive
1058140,0,0,,213,195,Very Positive
1058450,72,63,Very Positive,1613,1451,Very Positive
1058650,86,61,Mostly Positive,3539,2795,Mostly Positive
1058770,34,28,Very Positive,1441,1080,Mostly Positive
1058830,42,40,Very Positive,1923,1865,Overwhelmingly Positive
1059430,0,0,,106,83,Mostly Positive
1059820,0,0,,112,57,Mixed
106000,0,0,,218,139,Mixed
1060600,0,0,,560,537,Overwhelmingly Positive
1061090,193,179,Very Positive,5642,5077,Very Positive
1061180,0,0,,328,301,Very Positive
1061310,0,0,,43,29,Mixed
1061350,0,0,,48,36,Mostly Positive
1061920,0,0,,50,45,Very Positive
1062000,16,12,Mostly Positive,525,341,Mixed
1062040,0,0,,288,233,Very Positive
1062090,2163,2033,Very Positive,5118,4862,Overwhelmingly Positive
1062110,0,0,,198,188,Very Positive
1062140,26,23,Very Positive,296,266,Very Positive
1062160,168,162,Overwhelmingly Positive,3635,3489,Overwhelmingly Positive
1062340,0,0,,279,164,Mixed
1062420,0,0,,0,0,Positive
1062490,0,0,,0,0,
1062491,0,0,,0,0,
1062590,0,0,,106,47,Mixed
1062830,29,26,Very Positive,524,455,Very Positive
1063310,0,0,,123,84,Mixed
1063450,0,0,,60,24,Mixed
1063490,15,10,Mostly Positive,485,436,Very Positive
1063730,0,0,,139241,103038,Mostly Positive
1063980,21,18,Very Positive,159,100,Mixed
1064220,64,55,Very Positive,4763,3762,Mostly Positive
1064221,54,41,Mostly Positive,1890,1379,Mostly Positive
1064270,38,30,Very Positive,1413,1130,Very Positive
1064271,43,40,Very Positive,2025,1822,Very Positive
1064272,45,37,Very Positive,858,737,Very Positive
1064273,65,39,Mixed,1431,887,Mixed
1064460,54,51,Very Positive,937,899,Overwhelmingly Positive
1065020,0,0,,188,174,Very Positive
1065100,0,0,,324,311,Very Positive
1065180,11,9,Very Positive,272,255,Very Positive
1065260,0,0,,391,351,Very Positive
1065490,0,0,,26,19,Mostly Positive
1065940,0,0,,164,116,Mostly Positive
1065970,0,0,,782,719,Very Positive
1066110,0,0,,48,34,Mostly Positive
1066150,0,0,,71,38,Mixed
1066180,10,9,Very Positive,173,145,Very Positive
1066630,0,0,,85,78,Very Positive
1066780,260,236,Very Positive,11712,10072,Very Positive
1066890,90,83,Very Positive,2855,2512,Very Positive
1067540,23,19,Very Positive,1136,1056,Very Positive
1067590,0,0,,86,73,Very Positive
1067690,0,0,,271,246,Very Positive
1067720,0,0,,121,112,Very Positive
1067770,0,0,,42,38,Positive
1067850,0,0,Very Positive,1977,1917,Overwhelmingly Positive
1067990,0,0,,0,0,
10680,82,74,Very Positive,10584,9419,Very Positive
1068290,29,25,Very Positive,380,372,Very Positive
1068360,0,0,,148,131,Very Positive
1068600,0,0,,26,14,Mixed
1068820,30,24,Very Positive,1361,1211,Very Positive
1069230,27,25,Very Positive,1623,1590,Overwhelmingly Positive
1069530,15,12,Very Positive,353,289,Very Positive
1069640,195,124,Mixed,2085,1584,Mostly Positive
1069650,26,21,Very Positive,1214,983,Very Positive
1069690,0,0,,810,583,Mostly Positive
10697,0,0,,41,30,Mostly Positive
1069740,107,99,Very Positive,5277,4907,Very Positive
1070550,0,0,,146,144,Very Positive
1070580,43,36,Very Positive,2519,2317,Very Positive
1070710,0,0,Very Positive,5462,5352,Overwhelmingly Positive
1070820,0,0,Very Positive,242,196,Very Positive
1070860,0,0,,357,282,Mostly Positive
107100,87,73,Very Positive,24946,23698,Overwhelmingly Positive
1071100,15,10,Mostly Positive,326,296,Very Positive
1071200,0,0,,445,289,Mixed
1071290,0,0,,291,229,Mostly Positive
1071870,76,65,Very Positive,3294,3030,Very Positive
1072040,17,15,Very Positive,1934,1566,Very Positive
1072063,0,0,,0,0,7 user reviews
1072100,0,0,,91,67,Mostly Positive
1072150,0,0,Very Positive,977,928,Overwhelmingly Positive
1072420,71,68,Very Positive,3982,3623,Very Positive
1072480,0,0,,558,351,Mixed
1072500,11,6,Mixed,672,470,Mostly Positive
1072561,92,40,Mixed,455,295,Mixed
1072562,15,9,Mixed,1151,966,Very Positive
1072620,0,0,,68,48,Mostly Positive
1072640,0,0,,230,216,Very Positive
1072820,0,0,,0,0,
1073840,0,0,,49,44,Positive
1073910,11,8,Very Positive,671,516,Mostly Positive
1074070,35,26,Mostly Positive,692,588,Very Positive
107410,1585,1458,Very Positive,152798,137518,Very Positive
1074320,0,0,,1382,856,Mixed
1074420,0,0,,112,82,Mostly Positive
1074620,0,0,,230,211,Very Positive
1074650,0,0,,28,25,Positive
1075040,0,0,,40,32,Positive
1075041,0,0,,61,57,Very Positive
1075080,0,0,,114,85,Mostly Positive
1075190,32,18,Mixed,1157,856,Mostly Positive
1075200,0,0,,152,133,Very Positive
1075400,0,0,,152,97,Mixed
1075740,51,37,Mostly Positive,1046,836,Very Positive
1076080,0,0,,222,210,Very Positive
1076150,0,0,,50,41,Very Positive
1076200,70,58,Very Positive,1360,1128,Very Positive
1076550,0,0,,369,339,Very Positive
1076620,14,11,Very Positive,51,48,Very Positive
1076750,0,0,,261,193,Mostly Positive
1076850,0,0,,180,140,Mostly Positive
1077290,11,9,Very Positive,432,401,Very Positive
1077520,17,13,Very Positive,830,738,Very Positive
1078200,0,0,,258,250,Very Positive
1078280,0,0,,473,444,Very Positive
1078320,0,0,,156,131,Very Positive
1078330,10,8,Very Positive,323,293,Very Positive
1078350,42,39,Very Positive,977,908,Very Positive
1078380,0,0,,81,48,Mixed
1078420,0,0,Very Positive,276,267,Very Positive
1078920,0,0,Very Positive,588,535,Very Positive
1079160,0,0,,822,797,Overwhelmingly Positive
1079180,0,0,,221,216,Very Positive
1079230,0,0,,61,57,Very Positive
1079260,81,76,Very Positive,1626,1560,Overwhelmingly Positive
1079510,0,0,,147,130,Very Positive
1079620,0,0,,378,302,Very Positive
1079800,39,34,Very Positive,2514,2338,Very Positive
1079830,0,0,,189,120,Mixed
1080110,692,643,Very Positive,23343,21708,Very Positive
1080550,0,0,,278,261,Very Positive
1080750,0,0,Very Positive,440,426,Very Positive
1081000,0,0,,39,14,Mostly Negative
1081510,31,17,Mixed,2129,1639,Mostly Positive
108200,39,34,Very Positive,2467,2220,Very Positive
1082180,28,19,Mostly Positive,418,334,Very Positive
1082430,238,233,Overwhelmingly Positive,4913,4814,Overwhelmingly Positive
1082680,0,0,,687,261,Mostly Negative
1082710,32,30,Very Positive,2353,2305,Overwhelmingly Positive
1082930,0,0,,105,91,Very Positive
1083190,0,0,,98,85,Very Positive
1083820,0,0,,65,55,Very Positive
1084020,35,32,Very Positive,790,718,Very Positive
1084060,0,0,,0,0,7 user reviews
1084430,0,0,,29,25,Positive
1084640,47,44,Very Positive,740,717,Overwhelmingly Positive
1084680,0,0,,166,119,Mostly Positive
1085160,0,0,,443,394,Very Positive
1085180,12,9,Very Positive,440,396,Very Positive
1085510,362,329,Very Positive,4158,3700,Very Positive
1085880,0,0,,0,0,6 user reviews
108600,1565,1424,Very Positive,37854,34068,Very Positive
1086410,0,0,Very Positive,462,434,Very Positive
1086480,0,0,,261,135,Mixed
1086481,0,0,,147,102,Mostly Positive
1086740,0,0,,0,0,9 user reviews
1086870,0,0,,57,42,Mostly Positive
1086940,1466,1275,Very Positive,41180,36238,Very Positive
108710,213,183,Very Positive,25362,22825,Very Positive
1087421,0,0,,31,27,Positive
1087424,0,0,,116,96,Very Positive
1087427,0,0,,26,21,Positive
1087428,0,0,,122,108,Very Positive
1087429,0,0,,24,22,Positive
1088000,0,0,,157,120,Mostly Positive
1088090,76,59,Mostly Positive,1640,1148,Mostly Positive
1088290,0,0,,173,162,Very Positive
1088480,0,0,,0,0,1 user reviews
1088640,0,0,,161,109,Mixed
1088770,0,0,,117,81,Mostly Positive
1088790,210,155,Mostly Positive,3069,2485,Very Positive
1088850,0,0,,2558,2378,Very Positive
1088930,0,0,,19,16,Positive
1088940,0,0,,0,0,4 user reviews
1088942,0,0,,0,0,6 user reviews
1088950,0,0,,92,74,Very Positive
1089090,221,205,Very Positive,6541,5952,Very Positive
1089270,55,44,Very Positive,1522,1278,Very Positive
1089350,135,79,Mixed,45581,23246,Mixed
1089790,0,0,,535,428,Very Positive
1089830,10,9,Very Positive,659,566,Very Positive
1089980,434,420,Overwhelmingly Positive,24916,24417,Overwhelmingly Positive
1090130,0,0,,76,68,Very Positive
1090140,0,0,,46,38,Positive
1090150,152,34,Mostly Negative,2345,1524,Mixed
1090164,0,0,,40,34,Positive
1090165,0,0,,0,0,Positive
1090180,0,0,,38,35,Positive
1090181,0,0,,0,0,Positive
1090200,78,13,Very Negative,3389,1220,Mostly Negative
1090440,0,0,,554,470,Very Positive
1090603,0,0,,0,0,6 user reviews
1090620,0,0,,0,0,9 user reviews
1090670,0,0,,107,85,Very Positive
1090850,0,0,,385,308,Very Positive
1091460,33,23,Mostly Positive,433,355,Very Positive
1091500,3424,2499,Mostly Positive,386695,293888,Mostly Positive
1092040,0,0,,408,306,Mostly Positive
1092400,28,25,Very Positive,420,378,Very Positive
1092430,0,0,,287,235,Very Positive
1092590,17,15,Very Positive,753,722,Overwhelmingly Positive
1092660,40,34,Very Positive,3863,2935,Mostly Positive
1092691,0,0,,0,0,3 user reviews
1092790,0,0,,14055,13352,Overwhelmingly Positive
1092840,0,0,,108,104,Very Positive
1092880,0,0,,75,69,Very Positive
1093290,0,0,,119,113,Very Positive
1093700,0,0,,477,410,Very Positive
1093730,0,0,,286,214,Mostly Positive
1093910,248,240,Overwhelmingly Positive,4017,3936,Overwhelmingly Positive
1094000,12,6,Mixed,433,281,Mixed
1094250,0,0,,65,62,Very Positive
1094390,0,0,,146,129,Very Positive
1094520,80,60,Mostly Positive,14092,12260,Very Positive
1094530,0,0,,324,314,Very Positive
1094540,0,0,,83,59,Mostly Positive
1094760,0,0,,57,34,Mixed
1094780,44,40,Very Positive,2042,1796,Very Positive
1094870,0,0,,85,78,Very Positive
1094900,0,0,,0,0,
1094930,0,0,,39,35,Positive
1095030,0,0,,77,71,Very Positive
1095260,0,0,Very Positive,280,271,Very Positive
1096180,0,0,,122,120,Very Positive
1096410,12,9,Mostly Positive,1218,889,Mostly Positive
1096530,207,175,Very Positive,7617,6855,Very Positive
1096570,17,13,Very Positive,1095,908,Very Positive
1096580,0,0,,65,32,Mixed
1096900,25,21,Very Positive,548,421,Mostly Positive
1096930,0,0,,196,182,Very Positive
1097110,0,0,Very Positive,193,173,Very Positive
1097130,153,131,Very Positive,784,682,Very Positive
1097150,4876,4144,Very Positive,349271,289894,Very Positive
1097200,177,104,Mixed,4149,2987,Mostly Positive
1097350,0,0,,0,0,
1097580,0,0,,1051,893,Very Positive
1097620,14,11,Very Positive,301,240,Very Positive
1097750,0,0,,62,50,Very Positive
1097840,198,152,Mostly Positive,14154,9624,Mixed
1098100,0,0,,187,142,Mostly Positive
1098120,0,0,,176,119,Mixed
1098162,0,0,,0,0,3 user reviews
1098163,0,0,,31,15,Mixed
1098170,0,0,,228,186,Very Positive
1098220,0,0,,0,0,7 user reviews
1098292,45,21,Mixed,3821,2751,Mostly Positive
1098293,51,23,Mixed,3150,2016,Mixed
1098300,0,0,,180,147,Very Positive
1098370,0,0,,73,68,Very Positive
1098940,0,0,,692,525,Mostly Positive
1099220,0,0,,67,58,Very Positive
1099410,106,83,Mostly Positive,1076,763,Mostly Positive
1100130,0,0,,30,27,Positive
1100140,0,0,Very Positive,414,409,Very Positive
1100150,11,9,Very Positive,234,224,Very Positive
1100160,0,0,,131,128,Very Positive
1100250,0,0,,61,34,Mixed
1100260,45,39,Very Positive,899,809,Very Positive
1100410,14,8,Mixed,1376,743,Mixed
1100420,0,0,,486,437,Very Positive
1100430,0,0,,96,90,Very Positive
1101190,20,8,Mixed,2441,1684,Mixed
1101350,0,0,,73,70,Very Positive
1101360,13,8,Mixed,423,321,Mostly Positive
1101400,0,0,,168,134,Very Positive
1101450,33,24,Mostly Positive,2518,2266,Very Positive
1101720,0,0,,64,49,Mostly Positive
1101790,0,0,,401,228,Mixed
1101970,0,0,,25,17,Mixed
1102130,100,91,Very Positive,4893,4550,Very Positive
1102190,241,226,Very Positive,12790,12278,Overwhelmingly Positive
1102650,0,0,,29,24,Positive
1103860,0,0,,268,217,Very Positive
1103880,0,0,,260,223,Very Positive
1104280,41,21,Mixed,2480,1934,Mostly Positive
1104330,0,0,,1375,1155,Very Positive
1104380,45,40,Very Positive,2255,2187,Overwhelmingly Positive
1104660,35,29,Very Positive,3101,2883,Very Positive
1104880,0,0,,396,348,Very Positive
1105370,0,0,,118,67,Mixed
1105510,85,75,Very Positive,1449,1289,Very Positive
1105630,0,0,,0,0,Positive
1105670,144,120,Very Positive,3779,3438,Very Positive
1105740,0,0,,21,13,Mixed
1106180,0,0,,70,46,Mixed
1106220,0,0,,10,3,Mostly Negative
1106340,52,44,Very Positive,367,341,Very Positive
1106530,15,12,Very Positive,1921,1690,Very Positive
1106840,281,247,Very Positive,7433,6466,Very Positive
1106940,0,0,,265,249,Very Positive
1107300,17,15,Very Positive,135,103,Mostly Positive
1107750,0,0,,14,11,Positive
1107760,0,0,,93,87,Very Positive
1107790,17,14,Very Positive,1704,1312,Mostly Positive
1107812,0,0,,24,10,Mixed
1107840,0,0,,274,197,Mostly Positive
110800,197,165,Very Positive,20340,17289,Very Positive
1108370,53,44,Very Positive,3821,3362,Very Positive
1108410,0,0,,144,112,Mostly Positive
1108450,0,0,,123,56,Mixed
1108460,0,0,,36,29,Positive
1108590,36,30,Very Positive,1010,828,Very Positive
1109207,0,0,,27,19,Mostly Positive
1109690,0,0,,168,107,Mixed
